Village,Region,Service,Availability,Distance_to_HQ_km,Satisfaction_Score
Rampur,East,Electricity,Yes,3.5,4.2
Lakshmi Nagar,West,Water,No,6.1,3.1
Shivpur,North,Healthcare,Yes,4.2,4.5
Basantpur,South,Internet,No,7.8,2.9
Rajgarh,East,Transport,Yes,5.0,3.8
Devgaon,West,Electricity,Yes,4.3,4.0
Kishanpur,North,Water,No,2.9,4.1
Sundarpur,South,Healthcare,Yes,6.7,2.7
Amarpur,East,Internet,No,3.0,3.6
Bijapur,West,Transport,Yes,5.5,3.9
Rampur,East,Electricity,Yes,3.5,4.2
Lakshmi Nagar,West,Water,No,6.1,3.1
Shivpur,North,Healthcare,Yes,4.2,4.5
Basantpur,South,Internet,No,7.8,2.9
Rajgarh,East,Transport,Yes,5.0,3.8
Devgaon,West,Electricity,Yes,4.3,4.0
Kishanpur,North,Water,No,2.9,4.1
Sundarpur,South,Healthcare,Yes,6.7,2.7
Amarpur,East,Internet,No,3.0,3.6
Bijapur,West,Transport,Yes,5.5,3.9
Rampur,East,Electricity,Yes,3.5,4.2
Lakshmi Nagar,West,Water,No,6.1,3.1
Shivpur,North,Healthcare,Yes,4.2,4.5
Basantpur,South,Internet,No,7.8,2.9
Rajgarh,East,Transport,Yes,5.0,3.8
Devgaon,West,Electricity,Yes,4.3,4.0
Kishanpur,North,Water,No,2.9,4.1
Sundarpur,South,Healthcare,Yes,6.7,2.7
Amarpur,East,Internet,No,3.0,3.6
Bijapur,West,Transport,Yes,5.5,3.9
Rampur,East,Electricity,Yes,3.5,4.2
Lakshmi Nagar,West,Water,No,6.1,3.1
Shivpur,North,Healthcare,Yes,4.2,4.5
Basantpur,South,Internet,No,7.8,2.9
Rajgarh,East,Transport,Yes,5.0,3.8
Devgaon,West,Electricity,Yes,4.3,4.0
Kishanpur,North,Water,No,2.9,4.1
Sundarpur,South,Healthcare,Yes,6.7,2.7
Amarpur,East,Internet,No,3.0,3.6
Bijapur,West,Transport,Yes,5.5,3.9
Rampur,East,Electricity,Yes,3.5,4.2
Lakshmi Nagar,West,Water,No,6.1,3.1
Shivpur,North,Healthcare,Yes,4.2,4.5
Basantpur,South,Internet,No,7.8,2.9
Rajgarh,East,Transport,Yes,5.0,3.8
Devgaon,West,Electricity,Yes,4.3,4.0
Kishanpur,North,Water,No,2.9,4.1
Sundarpur,South,Healthcare,Yes,6.7,2.7
Amarpur,East,Internet,No,3.0,3.6
Bijapur,West,Transport,Yes,5.5,3.9
